Date,Total Yield (Smooth),GridDurationHours,MaintDurationHours,DelREMO,Temp (Smooth),Cloud Cover (Smooth)
2020-08-05,261.98066666666665,0.0,0.0,0.0,30.38,58.033333333333324
2020-08-06,276.3333333333333,0.0,0.0,0.0,30.806666666666665,58.599999999999994
2020-08-07,278.28,0.0,0.0,0.0,30.94666666666667,60.25333333333334
2020-08-08,279.994,0.0041666666666666,0.0,0.0841666666666666,31.04,60.88
2020-08-09,274.44066666666663,0.0,0.0,0.0,31.02,61.733333333333334
2020-08-10,263.76666666666665,0.0,0.0,1.9177777777777776,30.933333333333334,63.980000000000004
2020-08-11,255.73333333333332,0.0041666666666666,0.0,0.0,30.83333333333333,65.32
2020-08-12,250.23333333333335,0.0,0.0,0.0,30.666666666666664,66.81333333333333
2020-08-13,249.29266666666666,0.0,0.0,0.0,30.546666666666663,66.87333333333333
2020-08-14,256.4806666666667,0.0,0.0,0.0,30.759999999999998,65.74000000000001
2020-08-15,258.5733333333334,0.0,0.0,0.0,30.84,64.68666666666667
2020-08-16,268.24133333333333,0.0044444444444444,0.0,0.0,31.02,65.05333333333333
2020-08-17,262.78066666666666,0.0,0.0,0.0,30.960000000000004,66.75999999999999
2020-08-18,260.54133333333334,0.0,0.0,0.0,30.86,68.3
2020-08-19,249.06733333333332,0.0019444444444444,0.0,0.0,30.64,69.93333333333334
2020-08-20,249.47466666666668,0.0,0.0,0.0,30.39333333333333,71.2
2020-08-21,237.6746666666667,0.0,0.0,0.0,29.993333333333332,71.74666666666667
2020-08-22,229.58733333333333,0.0,0.0,0.0,29.826666666666668,72.33333333333334
2020-08-23,226.434,0.0,0.0,0.0,29.626666666666672,72.44666666666666
2020-08-24,232.63400000000001,0.0,0.0,0.0,29.53333333333333,70.9
2020-08-25,243.714,0.0,0.0,0.0,29.513333333333332,68.11333333333333
2020-08-26,247.08666666666667,0.0,0.0,0.0,29.433333333333334,67.72
2020-08-27,249.24066666666667,0.0,0.0,0.0,29.29333333333333,67.82666666666667
2020-08-28,252.81333333333333,0.0,0.0,0.0,29.346666666666664,67.16
2020-08-29,252.03933333333336,0.0,0.0,0.0,29.273333333333333,66.54666666666667
2020-08-30,246.21933333333334,0.0022222222222222,0.0,0.0,29.18,67.92
2020-08-31,247.15866666666665,0.0,0.0,0.0,29.133333333333333,66.96000000000001
2020-09-01,247.546,0.0,0.0,0.0,29.14666666666667,65.77333333333334
2020-09-02,249.93866666666665,0.0,0.0,0.0,29.146666666666665,64.70666666666668
2020-09-03,259.33933333333334,0.0,0.0,0.0,29.286666666666665,64.22666666666666
2020-09-04,256.29866666666663,0.0,0.0,1.982777777777778,29.446666666666665,62.52666666666667
2020-09-05,254.3653333333333,0.0,0.0,0.0,29.58,61.06666666666667
2020-09-06,257.89866666666666,0.0,0.0,0.0,29.57333333333333,60.980000000000004
2020-09-07,259.4653333333333,0.0041666666666666,0.0,0.0,29.62,59.54
2020-09-08,262.1186666666666,0.0,0.0,0.0,29.606666666666666,58.16666666666667
2020-09-09,262.8926666666666,0.0,0.0,0.0,29.653333333333336,55.85333333333334
2020-09-10,266.90666666666664,0.0,0.0,0.0,29.720000000000002,53.02
2020-09-11,266.392,0.0,0.0,0.0,29.880000000000003,48.98
2020-09-12,271.586,0.0,0.0,0.0,30.053333333333335,45.546666666666674
2020-09-13,274.14,0.0,0.0,0.0,30.119999999999997,44.900000000000006
2020-09-14,278.78666666666663,0.0,0.0,0.0,30.199999999999996,42.266666666666666
2020-09-15,280.17933333333326,0.0,0.0,0.0,30.29333333333333,41.16
2020-09-16,285.82666666666665,0.0,0.0,0.0,30.44666666666667,40.86666666666667
2020-09-17,287.8466666666667,0.0,0.0,0.0,30.50666666666667,38.76
2020-09-18,294.32000000000005,0.0,0.0,0.0,30.633333333333336,35.24666666666666
2020-09-19,300.15333333333336,0.0,0.0,0.0,30.68,33.88666666666666
2020-09-20,312.7866666666667,0.0,0.0,0.0,30.81333333333333,31.159999999999997
2020-09-21,314.33333333333337,0.0,0.0,0.0,30.96,27.25333333333333
2020-09-22,307.93933333333337,0.0019444444444444,0.0,0.0,31.013333333333332,26.746666666666666
2020-09-23,300.19266666666664,0.0,0.0,0.0,31.060000000000002,27.693333333333335
2020-09-24,294.84,0.0022222222222222,0.0,0.0,30.94666666666667,29.713333333333335
2020-09-25,291.94,0.0,0.0,2.5025,30.86666666666667,30.613333333333337
2020-09-26,288.36133333333333,0.0,0.0,0.0,30.8,31.973333333333336
2020-09-27,288.228,0.0,0.0,0.5888888888888889,30.613333333333333,30.433333333333337
2020-09-28,288.734,0.0,0.0,0.0,30.46,27.84
2020-09-29,288.61333333333334,0.0019444444444444,0.0,0.0,30.28,25.96
2020-09-30,291.4073333333333,0.0,0.0,0.0,30.073333333333334,23.58
2020-10-01,289.9673333333334,0.0,0.0,0.0,29.840000000000003,20.22
2020-10-02,289.0806666666666,0.0,0.0,0.0,29.6,18.693333333333335
2020-10-03,288.7473333333333,0.0,0.0,0.0,29.36,17.473333333333336
2020-10-04,290.4066666666667,0.0,0.0,0.0,29.153333333333332,15.266666666666667
2020-10-05,291.9266666666667,0.0,0.0,0.0,28.926666666666666,13.686666666666667
2020-10-06,292.98066666666665,0.0,0.0,0.0838888888888888,28.666666666666664,12.666666666666668
2020-10-07,299.46733333333333,0.0,0.0,0.0,28.426666666666666,10.579999999999998
2020-10-08,303.5746666666667,0.0,0.0,0.5891666666666667,28.253333333333334,7.573333333333332
