Date,Total Yield [kWh],Inverter 1 [kWh]
2020-07-16,331.2,331.2
2020-07-17,320.59,320.59
2020-07-18,198.61,198.61
2020-07-19,276.69,276.69
2020-07-20,256.61,256.61
2020-07-21,129.59,129.59
2020-07-22,115.91,116.0
2020-07-23,332.41,332.41
2020-07-24,308.59,308.59
2020-07-25,290.0,290.0
2020-07-26,313.5,313.5
2020-07-27,326.0,326.0
2020-07-28,337.5,337.5
2020-07-29,208.91,208.91
2020-07-30,165.59,165.59
2020-07-31,304.41,304.41
2020-08-01,103.09,103.09
2020-08-02,310.3,310.3
2020-08-03,293.2,293.2
2020-08-04,261.8,261.8
2020-08-05,258.5,258.5
2020-08-06,331.2,331.2
2020-08-07,361.61,361.61
2020-08-08,334.3,334.3
2020-08-09,206.7,206.7
2020-08-10,153.39,153.39
2020-08-11,205.5,205.5
2020-08-12,255.0,255.0
2020-08-13,194.8,194.8
2020-08-14,273.41,273.41
2020-08-15,335.8,335.8
2020-08-16,248.11,248.11
2020-08-17,228.39,228.39
2020-08-18,259.61,259.61
2020-08-19,89.69,89.69
2020-08-20,264.61,264.61
2020-08-21,154.2,154.2
2020-08-22,240.3,240.3
2020-08-23,287.0,287.0
2020-08-24,299.7,299.7
2020-08-25,319.59,319.59
2020-08-26,256.09,256.09
2020-08-27,287.31,287.31
2020-08-28,248.39,248.39
2020-08-29,261.8,261.8
2020-08-30,248.5,248.5
2020-08-31,262.2,262.2
2020-09-01,234.2,234.2
2020-09-02,295.5,295.5
2020-09-03,230.7,230.7
2020-09-04,219.0,219.0
2020-09-05,125.2,125.2
2020-09-06,293.3,293.3
2020-09-07,310.5,310.5
2020-09-08,339.5,339.5
2020-09-09,331.2,331.2
2020-09-10,316.3,316.3
2020-09-11,279.59,279.59
2020-09-12,326.3,326.3
2020-09-13,300.11,300.11
2020-09-14,318.2,318.2
2020-09-15,283.09,283.09
2020-09-16,318.91,318.91
2020-09-17,325.8,325.8
2020-09-18,327.8,327.8
2020-09-19,306.5,306.5
2020-09-20,314.7,314.7
2020-09-21,316.5,316.5
2020-09-22,214.59,214.59
2020-09-23,223.3,223.3
2020-09-24,250.91,250.91
