Date,Total Yield [kWh],GridDurationHours,MaintDurationHours,DelREMO,Temp,Prcp,Cloud Cover,Conditions,Total Yield (Smooth),Cloud Cover (Smooth),Temp (Smooth)
2019-06-13,329.4,0.0,0.0,1.0472222222222225,34.0,1.5303947050936475,27.6,"Rain, Partially cloudy",318.33333333333326,22.499999999999996,34.74666666666666
2019-06-14,359.4,0.0,0.0,0.0,34.7,0.0,3.2,Clear,321.30666666666656,22.439999999999998,34.67333333333333
2019-06-15,311.3,0.0019444444444444,0.0,0.9241666666666668,35.0,0.0,25.4,Partially cloudy,319.35999999999996,23.56,34.58
2019-06-16,240.3,0.0,0.0,0.0,31.6,1.2296405510745139,59.1,"Rain, Partially cloudy",314.35999999999996,26.69333333333333,34.333333333333336
2019-06-17,339.3,0.0061111111111111,0.0,2.816666666666667,31.6,2.3978952727983707,32.5,"Rain, Partially cloudy",315.4533333333333,26.993333333333332,34.07333333333333
2019-06-18,159.0,0.0,0.0,0.0,27.4,1.413423028508143,74.1,"Rain, Partially cloudy",304.98,31.133333333333336,33.63333333333333
2019-06-19,337.2,0.0,0.0,0.0,31.0,0.0,39.4,Partially cloudy,306.9666666666667,31.026666666666667,33.61333333333334
2019-06-20,276.8,0.0022222222222222,0.0,0.0,30.2,2.3978952727983707,35.8,"Rain, Partially cloudy",305.2933333333333,30.61333333333333,33.3
2019-06-21,268.0,0.0019444444444444,0.0,0.0,30.6,2.3978952727983707,55.4,"Rain, Partially cloudy",306.66666666666663,30.319999999999993,33.126666666666665
2019-06-22,348.1,0.0061111111111111,0.0,0.0,33.5,0.0,11.0,Clear,305.65999999999997,30.133333333333333,33.22666666666667
2019-06-23,336.9,0.0,0.0,0.0,33.1,0.0,14.9,Clear,304.9266666666666,30.75333333333333,33.10666666666666
2019-06-24,259.0,0.0,0.0,1.27,30.5,2.3978952727983707,67.5,"Rain, Partially cloudy",299.0066666666666,34.64666666666667,32.71333333333334
2019-06-25,276.5,0.0,0.0,0.0,31.5,0.3364722366212129,81.1,"Rain, Overcast",294.4333333333333,39.96666666666666,32.38
2019-06-26,357.9,0.0,0.0,0.0,32.9,0.0,14.9,Clear,296.4066666666667,39.03333333333333,32.13333333333333
2019-06-27,279.0,0.0,0.0,0.0,33.1,0.0,33.6,Partially cloudy,298.54,38.36666666666667,32.04666666666667
2019-06-28,350.0,0.0,0.0,0.0,34.3,0.0,3.6,Clear,299.91333333333336,36.766666666666666,32.06666666666666
2019-06-29,328.5,0.0,0.0,0.0,35.1,0.0,0.1,Clear,297.8533333333333,36.56,32.093333333333334
2019-06-30,297.2,0.0019444444444444,0.0,0.0,33.6,0.5364933705145685,15.1,Rain,296.91333333333336,35.873333333333335,31.999999999999996
2019-07-01,322.8,0.0,0.0,0.0,34.3,2.3978952727983707,11.4,Rain,302.4133333333333,32.693333333333335,32.18
2019-07-02,325.0,0.0038888888888888,0.0,0.0,34.3,0.0,12.4,Clear,301.46,31.353333333333335,32.36
2019-07-03,297.9,0.0,0.0,0.0,34.5,1.3862943611198906,4.0,Rain,310.72,26.68,32.83333333333333
2019-07-04,200.0,0.0,0.0,0.0,30.2,2.3978952727983707,53.3,"Rain, Partially cloudy",301.5733333333333,27.60666666666667,32.78
2019-07-05,325.0,0.0,0.0,0.0,32.4,0.47000362924573563,17.6,Rain,304.7866666666667,26.39333333333333,32.92666666666666
2019-07-06,201.9,0.0022222222222222,0.0,0.0,29.4,2.3978952727983707,39.8,"Rain, Partially cloudy",300.37999999999994,25.353333333333335,32.846666666666664
2019-07-07,354.5,0.0,0.0,0.0,32.0,2.3978952727983707,40.3,"Rain, Partially cloudy",300.8066666666666,27.306666666666665,32.74666666666667
2019-07-08,321.6,0.0,0.0,0.0,31.2,2.3978952727983707,50.3,"Rain, Partially cloudy",299.7866666666667,29.666666666666668,32.620000000000005
2019-07-09,261.9,0.0,0.0,0.0,28.9,2.3978952727983707,68.4,"Rain, Partially cloudy",299.97999999999996,29.726666666666667,32.513333333333335
2019-07-10,136.4,0.0061111111111111,0.0,6.672500000000001,29.4,2.3978952727983707,82.7,"Rain, Overcast",290.64,29.83333333333333,32.37333333333333
2019-07-11,226.8,0.0,0.0,0.0,28.3,2.3978952727983707,68.7,"Rain, Partially cloudy",281.9,33.42,32.06666666666667
2019-07-12,158.9,0.0,0.0,0.0,28.9,2.3978952727983707,63.6,"Rain, Partially cloudy",273.89333333333326,35.42,31.78666666666667
2019-07-13,247.0,0.0,0.0,0.0,27.9,2.3978952727983707,51.9,"Rain, Partially cloudy",267.0266666666667,38.64,31.359999999999996
2019-07-14,52.0,0.0,0.0,2.323611111111111,24.6,2.3978952727983707,66.1,"Rain, Partially cloudy",248.59333333333333,43.04,30.659999999999997
2019-07-15,165.9,0.0,0.0,0.9325,26.4,2.3978952727983707,85.4,"Rain, Overcast",239.84000000000003,47.726666666666674,30.18
2019-07-16,161.6,0.0,0.0,0.0,25.0,2.3978952727983707,74.8,"Rain, Partially cloudy",229.09333333333336,51.95333333333333,29.560000000000002
2019-07-17,269.6,0.0019444444444444,0.0,0.0,27.2,2.341805806147327,77.2,"Rain, Overcast",225.4,56.27333333333333,29.086666666666666
2019-07-18,313.7,0.0,0.0,0.0,28.2,0.7419373447293773,54.9,"Rain, Partially cloudy",226.45333333333335,59.666666666666664,28.666666666666664
2019-07-19,251.9,0.0,0.0,0.0,29.0,2.3978952727983707,61.4,"Rain, Partially cloudy",229.91333333333333,60.20666666666666,28.586666666666662
2019-07-20,292.0,0.0,0.0,0.0841666666666666,29.8,1.9459101490553132,62.3,"Rain, Partially cloudy",227.71333333333334,63.18666666666667,28.41333333333333
2019-07-21,346.3,0.0,0.0,0.0841666666666666,30.6,0.0,37.9,Partially cloudy,237.34,63.06000000000001,28.493333333333332
2019-07-22,320.4,0.0,0.0,0.9769444444444444,31.5,1.0986122886681098,49.2,"Rain, Partially cloudy",235.0666666666667,63.65333333333334,28.46
2019-07-23,306.2,0.0,0.0,0.0,32.0,2.3978952727983707,33.8,"Rain, Partially cloudy",234.04,62.553333333333335,28.513333333333335
2019-07-24,345.0,0.0,0.0,0.0,32.3,2.3978952727983707,33.3,"Rain, Partially cloudy",239.57999999999998,60.21333333333333,28.74
2019-07-25,64.9,0.0,0.0,5.6850000000000005,27.3,2.3978952727983707,84.1,"Rain, Overcast",234.8133333333333,60.306666666666665,28.599999999999998
2019-07-26,189.1,0.0,0.0,0.0,27.8,2.3978952727983707,78.6,"Rain, Overcast",232.29999999999998,60.96666666666667,28.566666666666663
2019-07-27,166.2,0.0,0.0,0.0,27.9,2.3978952727983707,89.5,"Rain, Overcast",232.78666666666663,62.693333333333335,28.499999999999996
2019-07-28,271.1,0.0,0.0,0.0,29.9,2.3978952727983707,77.9,"Rain, Overcast",234.39333333333332,64.42666666666668,28.63333333333333
2019-07-29,368.4,0.0,0.0,0.0,30.9,1.0986122886681098,55.2,"Rain, Partially cloudy",255.48666666666665,63.7,29.05333333333333
2019-07-30,304.1,0.0,0.0,0.0,29.1,0.9555114450274363,85.2,"Rain, Overcast",264.7,63.68666666666667,29.23333333333333
2019-07-31,129.6,0.0,0.0,0.0,27.7,2.196112848483529,89.4,"Rain, Overcast",262.56666666666666,64.66,29.413333333333338
2019-08-01,255.3,0.0,0.0,0.0,29.7,2.3978952727983707,81.1,"Rain, Overcast",261.61333333333334,64.91999999999999,29.580000000000005
2019-08-02,101.7,0.0,0.0,0.8766666666666667,26.9,2.3978952727983707,71.3,"Rain, Partially cloudy",247.48,66.01333333333334,29.493333333333336
2019-08-03,294.8,0.0,0.0,0.0,28.7,0.0,50.1,Partially cloudy,250.34,65.25999999999999,29.473333333333336
2019-08-04,316.8,0.0,0.0,0.0,30.6,1.3862943611198906,42.1,"Rain, Partially cloudy",251.99333333333334,63.91333333333333,29.526666666666667
2019-08-05,322.7,0.0,0.0,0.2525,31.4,0.6931471805599453,52.2,"Rain, Partially cloudy",250.42,64.86666666666666,29.58
2019-08-06,243.2,0.0,0.0,0.0,29.1,2.3978952727983707,59.4,"Rain, Partially cloudy",245.27333333333334,65.54666666666665,29.419999999999998
2019-08-07,272.0,0.0,0.0,0.0,30.4,0.0,75.7,Overcast,242.99333333333334,68.33999999999999,29.31333333333334
2019-08-08,295.2,0.0019444444444444,0.0,0.0,31.6,0.09531017980432493,77.8,"Rain, Overcast",239.67333333333335,71.30666666666666,29.26666666666667
2019-08-09,220.1,3.1441666666666666,0.0,0.5047222222222223,29.1,1.665818245870208,76.0,"Rain, Overcast",250.02000000000004,70.76666666666667,29.386666666666667
2019-08-10,273.1,0.0041666666666666,0.0,0.1680555555555555,29.7,1.0986122886681098,62.2,"Rain, Partially cloudy",255.62000000000003,69.67333333333333,29.513333333333332
2019-08-11,304.3,0.0,0.0,1.1713888888888888,31.0,2.3978952727983707,58.2,"Rain, Partially cloudy",264.8266666666667,67.58666666666667,29.720000000000002
2019-08-12,165.2,0.0,0.0,2.413888888888889,30.8,2.1713368063840917,63.8,"Rain, Partially cloudy",257.76666666666665,66.64666666666668,29.78
2019-08-13,341.9,0.0,0.0,0.0,30.5,2.3978952727983707,85.1,"Rain, Overcast",255.99999999999997,68.64,29.753333333333337
2019-08-14,215.6,0.0,0.0,0.0,29.2,2.3978952727983707,77.0,"Rain, Overcast",250.1,68.09333333333333,29.76
2019-08-15,188.1,0.0019444444444444,0.0,0.0,29.1,2.3978952727983707,79.8,"Rain, Overcast",254.0,67.45333333333333,29.85333333333333
2019-08-16,233.5,0.0,0.0,7.4719444444444445,28.4,2.3978952727983707,80.1,"Rain, Overcast",252.54666666666665,67.38666666666667,29.766666666666666
2019-08-17,140.6,0.0019444444444444,0.0,1.5630555555555554,26.5,2.3978952727983707,70.4,"Rain, Partially cloudy",255.14,67.32666666666665,29.740000000000002
2019-08-18,293.6,0.0,0.0,7.088333333333334,26.0,2.3978952727983707,83.8,"Rain, Overcast",255.06,69.57333333333334,29.56
2019-08-19,284.5,0.0,0.0,1.0741666666666667,28.2,2.3978952727983707,60.5,"Rain, Partially cloudy",252.90666666666667,70.8,29.399999999999995
2019-08-20,368.8,0.0,0.0,0.0,29.0,0.0,40.8,Partially cloudy,255.98000000000002,70.04,29.240000000000002
2019-08-21,350.7,0.0,0.0,0.0,29.8,0.0,34.1,Partially cloudy,263.1466666666667,68.35333333333332,29.28666666666667
2019-08-22,305.3,0.0,0.0,0.0,29.0,2.0794415416798357,42.2,"Rain, Partially cloudy",265.3666666666667,66.12,29.193333333333335
2019-08-23,342.4,0.0022222222222222,0.0,0.0,29.9,2.3978952727983707,52.0,"Rain, Partially cloudy",268.5133333333333,64.39999999999999,29.08
2019-08-24,228.4,0.0,0.0,0.0,28.8,2.0918640616783932,67.6,"Rain, Partially cloudy",269.0666666666666,63.839999999999996,29.06
2019-08-25,178.5,0.0038888888888888,0.0,0.0,26.8,2.3978952727983707,80.7,"Rain, Overcast",262.76,65.07333333333332,28.866666666666667
2019-08-26,344.4,0.0,0.0,0.0,30.5,2.302585092994046,70.0,"Rain, Partially cloudy",265.43333333333334,65.86,28.833333333333336
2019-08-27,348.3,0.0,0.0,8.283333333333335,31.1,0.0,44.3,Partially cloudy,277.64000000000004,64.55999999999999,28.853333333333335
2019-08-28,352.8,0.0,0.0,0.6730555555555555,30.6,1.6094379124341003,27.6,"Rain, Partially cloudy",278.3666666666667,60.72666666666667,28.86
2019-08-29,176.7,0.0,0.0,0.1680555555555555,29.7,2.3978952727983707,60.7,"Rain, Partially cloudy",275.7733333333333,59.64,28.893333333333334
2019-08-30,269.09,0.0,0.0,0.0838888888888888,30.7,0.0,50.2,Partially cloudy,281.17266666666666,57.666666666666664,28.999999999999996
2019-08-31,293.3,0.0,0.0,0.8027777777777777,31.8,0.0,29.1,Partially cloudy,285.15933333333334,54.26666666666666,29.226666666666667
2019-09-01,209.2,0.0,0.0,0.0,29.2,2.3978952727983707,81.1,"Rain, Overcast",289.73266666666666,54.97999999999999,29.406666666666666
2019-09-02,287.0,0.0,0.0,0.0,30.1,0.0,61.0,Partially cloudy,289.29266666666666,53.46,29.68
2019-09-03,324.3,0.0,0.0,0.0,31.1,0.0,40.3,Partially cloudy,291.94599999999997,52.11333333333334,29.87333333333333
2019-09-04,240.2,0.0019444444444444,0.0,0.0,29.0,2.3978952727983707,65.1,"Rain, Partially cloudy",283.3726666666666,53.733333333333334,29.873333333333335
2019-09-05,142.2,0.0,0.0,5.981388888888889,27.2,2.3978952727983707,82.0,"Rain, Overcast",269.47266666666667,56.92666666666667,29.700000000000003
